#GTO.PA;AXL.PA
SON.UN;SON-UN
SOT.PR.A;SOT-PA
SOT.UN;SOT-UN
SP.UN;SP-UN
SPA.A;SPA-A
SPF.DB;SPF-DB
SPF.DB.A;SPF-DBA
SPF.DB.B;SPF-DBB
SPF.DB.C;SPF-DBC
SPF.UN;SPF-UN
SPL.A;SPL-A
SPL.B;SPL-B
SPO.UN;SPO-UN
SPT.A;SPT-A
SPT.B;SPT-B
SPU.UN;SPU-UN
SQP.UN;SQP-UN
SRC.UN;SRC-UN
SRQ.UN;SRQ-UN
SRV.UN;SRV-UN
SSF.UN;SSF-UN
SSI.UN;SSI-UN
SSJ.UN;SSJ-UN
ST.A;ST-A
STB.DB;STB-DB
STB.UN;STB-UN
STE.NT.U;STE-NTU
STE.WT;STE-WT
STF.UN;STF-UN
STQ.E;STQ-E
STR.E;STR-E
STW.PR.A;STW-PA
STW.UN;STW-UN
STZ.UN;STZ-UN
SVU.WT;SVU-WT
SVW.WT;SVW-WT
SWP.N;SWP-N
SWP.R;SWP-R
SWS.UN;SWS-UN
SWY.WT;SWY-WT
SXP.UN;SXP-UN
SXR.DB;SXR-DB
SXT.PR.A;SXT-PA
SZG.UN;SZG-UN
SZH.UN;SZH-UN
SZR.DB;SZR-DB
SZR.DB.A;SZR-DBA
SZR.UN;SZR-UN
T.A;T-A
TAP.A;TAP-A
TAP.B;TAP-B
TAY.DB;TAY-DB
TAY.UN;TAY-UN
TBL.NT;TBL-NT
TCA.PR.X;TCA-PX
TCA.PR.Y;TCA-PY
TCK.A;TCK-A
TCK.B;TCK-B
TCK.DB;TCK-DB
TCL.A;TCL-A
TCL.B;TCL-B
TCT.UN;TCT-UN
TD.PR.M;TD-PM
TD.PR.N;TD-PN
TD.PR.O;TD-PO
TDB.M;TDB-M
TDD.M;TDD-M
TDG.UN;TDG-UN
TDS.B;TDS-B
TDS.PR.B;TDS-PB
TET.UN;TET-UN
TF.UN;TF-UN
TFS.PR.A;TFS-PA
THY.DB;THY-DB
THY.UN;THY-UN
TI.UN;TI-UN
TIF.UN;TIF-UN
TIL.UN;TIL-UN
TIO.WT;TIO-WT
TMA.UN;TMA-UN
TNP.U;TNP-U
TO.A;TO-A
TO.UN;TO-UN
TOC.PR.B;TOC-PB
TOR.WT;TOR-WT
TOS.WT;TOS-WT
TOT.UN;TOT-UN
TPW.UN;TPW-UN
TPX.A;TPX-A
TPX.B;TPX-B
TRE.S;TRE-S
TRF.UN;TRF-UN
TRH.UN;TRH-UN
TRK.UN;TRK-UN
TRZ.A;TRZ-A
TRZ.B;TRZ-B
TS.B;TS-B
TSF.UN;TSF-UN
TT.UN;TT-UN
TTN.A;TTN-A
TTN.B;TTN-B
TUI.DB;TUI-DB
TUI.UN;TUI-UN
TVA.B;TVA-B
TWF.UN;TWF-UN
TXL.UN;TXL-UN
TXT.PR.A;TXT-PA
TXT.UN;TXT-UN
U.WT;U-WT
U.WT.A;U-WTA
UF.UN;UF-UN
UNC.PR.A;UNC-PA
UNC.PR.B;UNC-PB
UNC.PR.C;UNC-PC
UNG.PR.C;UNG-PC
UNG.PR.D;UNG-PD
URB.A;URB-A
URB.WT;URB-WT
UST.PR.A;UST-PA
UST.UN;UST-UN
UTC.C;UTC-C
UTR.UN;UTR-UN
UWH.UN;UWH-UN
UXG.WT;UXG-WT
VET.UN;VET-UN
VFF.UN;VFF-UN
VHL.A;VHL-A
VIC.UN;VIC-UN
VIP.UN;VIP-UN
VNG.DB;VNG-DB
VNG.DB.A;VNG-DBA
VNG.UN;VNG-UN
VOX.UN;VOX-UN
W.PR.H;W-PH
W.PR.J;W-PJ
WAV.A;WAV-A
WAV.B;WAV-B
WCM.A;WCM-A
WCM.B;WCM-B
WCS.A;WCS-A
WFS.PR.A;WFS-PA
WJA.A;WJA-A
WJX.UN;WJX-UN
WLL.UN;WLL-UN
WLT.DB;WLT-DB
WLT.WT;WLT-WT
WN.DB;WN-DB
WN.PR.A;WN-PA
WN.PR.B;WN-PB
WN.PR.C;WN-PC
WN.PR.D;WN-PD
WN.PR.E;WN-PE
WRK.DB.A;WRK-DBA
WRK.DB.C;WRK-DBC
WRK.DB.E;WRK-DBE
WRK.UN;WRK-UN
WTE.UN;WTE-UN
WTN.DB;WTN-DB
XCM.PR.A;XCM-PA
XMF.PR.A;XMF-PA
XSC.UN;XSC-UN
YLD.PR.A;YLD-PA
YLD.PR.B;YLD-PB
YLO.UN;YLO-UN
YLO.WT;YLO-WT
YOU.UN;YOU-UN
YP.UN;YP-UN
YPG.DB;YPG-DB
YPG.PR.A;YPG-PA
YRB.A;YRB-A
YRI.WT.A;YRI-WTA
YTU.UN;YTU-UN
Z.UN;Z-UN
ZAR.UN;ZAR-UN
ZL.PR.A;ZL-PA
ZOG.B;ZOG-B
