30111998
FR0000072621;20050110;9.50;9.50;9.30;9.49;7707
FR0000072621;20050111;9.44;9.45;9.22;9.22;7349
FR0000072621;20050112;9.20;9.50;9.20;9.45;3985
FR0000072621;20050113;9.47;9.47;9.25;9.47;1006
FR0000072621;20050114;9.40;10.49;9.40;10.00;10597
FR0004032795;20050110;0.17;0.17;0.16;0.16;48300
FR0004032795;20050111;0.17;0.17;0.17;0.17;22371
FR0004032795;20050112;0.17;0.17;0.17;0.17;35300
FR0004032795;20050113;0.16;0.16;0.16;0.16;49440
FR0004032795;20050114;0.17;0.17;0.17;0.17;18350
FR0000064594;20050111;0.15;0.15;0.15;0.15;3822163
FR0000064594;20050112;0.16;0.16;0.16;0.16;3188841
FR0000064594;20050113;0.16;0.16;0.15;0.15;1174327
FR0000064594;20050114;0.15;0.15;0.15;0.15;3202484
FR0004155455;20050110;0.31;0.31;0.30;0.31;151705
FR0004155455;20050111;0.30;0.31;0.29;0.31;565224
FR0004155455;20050112;0.30;0.31;0.29;0.31;241957
FR0004155455;20050113;0.30;0.31;0.29;0.30;246695
FR0004155455;20050114;0.31;0.31;0.30;0.31;729319
FR0000072563;20050110;7.30;7.30;7.21;7.24;3183
FR0000072563;20050111;7.29;7.30;7.15;7.15;6105
FR0000072563;20050112;7.16;7.35;7.04;7.07;9167
FR0000072563;20050113;7.07;7.40;7.07;7.11;1613
FR0000072563;20050114;7.28;7.40;7.11;7.29;9525
